Customer_Name,Sales,Profit,Orders,Quantity
Liam Davis,1109.04,419.53000000000003,2,8
Li Miller,1108.8400000000001,380.84000000000003,2,6
Christopher Leroy,1094.01,355.48,2,15
Omar Thompson,1093.11,386.94,1,4
Sarah Jackson,1085.95,340.45,2,4
Felix Thomas,1058.14,253.44,1,4
Ingrid Pereira,1044.2,366.2,1,4
Raj Martinez,1030.05,421.99,2,11
Christopher Davis,1016.5899999999999,418.18,2,9
Kenji Anderson,993.9,475.0,1,10
Raj Harris,993.37,316.41999999999996,2,10
Richard Tanaka,990.69,269.58000000000004,2,8
Yuki Kumar,989.39,319.52,1,4
William Ferrari,987.18,358.52,2,9
Christopher White,983.4,447.81,1,7
Karen Suzuki,972.28,345.64000000000004,3,11
Elizabeth Müller,969.81,338.84,1,5
Oscar Martinez,967.27,314.92999999999995,3,22
Wei Harris,960.81,334.41999999999996,2,24
Olga Russo,952.73,363.01,2,5
Isabella Nilsson,950.76,336.58,1,4
Priya Sharma,938.81,244.05,1,13
Hans Sato,932.25,231.47,1,5
John Pereira,924.42,255.08,1,5
Amir Laurent,917.09,209.43,1,6
Sarah Patel,914.69,299.82,2,8
Christopher Johansson,914.43,254.21,1,3
Jessica Russo,909.72,348.29,1,6
Xiao Santos,879.9,374.8,1,5
Marco Weber,878.42,315.93,1,5
Sakura Harris,870.93,355.57,2,16
Diego Russo,865.13,328.53,1,7
Hanna Weber,860.85,232.3,2,13
Olga Nilsson,850.96,318.13,2,11
Susan Davis,848.92,299.17,1,2
Xiao Ali,838.3,230.55,1,7
Ingrid Romano,835.43,294.47,1,5
Mary Smith,827.77,300.32,2,6
Nadia Nilsson,827.42,261.25,1,5
Felix Santos,825.97,233.58,1,3
Ali Miller,825.42,248.51,3,14
Jessica Costa,811.51,252.08,1,13
Susan Jackson,810.94,287.06,2,4
Ayumi Zhang,810.88,280.23,1,4
Olga Müller,802.07,329.99,1,4
Ayumi Singh,801.33,376.95,2,11
Ingrid Zhang,801.0899999999999,258.38,2,10
Thomas Smith,792.01,289.07,2,7
Mia Johansson,791.59,277.65,1,5
Layla Williams,790.88,220.89,1,5
Diego Kim,790.03,324.20000000000005,2,15
Linda Smith,786.6899999999999,260.3,2,10
Elizabeth Johnson,783.03,333.49,2,13
Jessica Müller,781.96,315.84000000000003,2,12
Raj Oliveira,779.58,272.54,1,13
Chen Jones,776.28,299.09,1,4
Robert Robinson,775.8,286.77,1,8
Sophie Thomas,772.8,134.77,1,4
Sarah Thompson,766.33,252.83,2,7
Lucas Sato,761.31,246.2,2,6
Noah Johansson,758.29,269.07,1,2
Joseph Chen,754.8199999999999,337.1,2,12
Amir Li,754.02,268.15,1,3
Kenji Taylor,751.49,261.2,1,4
Oscar Chen,751.33,180.66,1,7
Diego Suzuki,751.29,284.86,2,10
Ingrid Jackson,749.59,250.6,1,8
Ali Wang,746.33,301.7,2,11
Hans Patel,743.06,316.98,2,14
Thomas Chen,743.0,263.46,3,7
Nadia Leroy,741.08,132.9,1,9
Olga Suzuki,739.4100000000001,281.84,2,8
Jennifer Clark,739.0200000000001,248.54999999999998,2,9
Jamal Robinson,736.58,255.26999999999998,3,14
Pierre Leroy,735.62,301.21999999999997,2,14
Noah Russo,732.96,295.28000000000003,2,13
Noah Smith,732.06,142.02,1,10
Jamal Martinez,730.94,265.39,1,9
Robert Patel,730.63,253.22,1,6
Wei Sato,729.63,304.59000000000003,2,7
Ayumi Khan,725.33,298.06,2,9
Priya Rodriguez,710.18,263.7,1,11
Richard Costa,708.42,198.6,1,3
Jessica Moreau,694.97,310.35,2,9
Lucas Moreau,692.5400000000001,199.63,2,16
Elizabeth Johansson,689.29,117.21,1,5
Oscar Miller,689.21,271.18,2,7
Sarah Sharma,687.53,258.08,2,12
Ivan Moreau,687.44,295.87,1,4
Emma Jones,683.82,263.67,1,3
Hans Miller,682.79,272.74,2,7
Thomas Laurent,668.12,250.1,2,6
Pierre Romano,665.42,237.4,1,9
Giulia Miller,662.12,247.47,2,3
Isabella Khan,660.62,257.74,1,2
Ahmed Thomas,659.08,251.09,1,2
Ingrid Williams,655.88,245.6,1,4
Lucas Li,649.62,243.46,1,3
John Laurent,640.3299999999999,204.76999999999998,2,3
Fatima Williams,629.87,214.67000000000002,4,20
Richard Rossi,628.5600000000001,185.64000000000001,2,8
Yuki Patel,627.38,248.72,1,4
David Johansson,626.39,252.39,1,4
Olga Johansson,625.88,106.32,1,5
Karen Smith,625.3100000000001,194.33999999999997,2,8
Michael Yamamoto,624.46,203.86999999999998,4,11
David Rossi,624.38,213.07,1,3
Giulia Johnson,623.79,251.23000000000002,2,6
Ayumi Dubois,619.37,272.44,1,11
William Yamamoto,619.17,212.18,1,4
Barbara Suzuki,617.58,239.82,1,2
Olivia Moreau,616.26,277.41,1,10
Nadia Harris,615.34,280.9,2,8
Amir Thompson,614.55,169.24,2,14
Priya Costa,612.54,142.76,2,5
Fatima Smith,611.5,253.44,3,14
Carlos Rodriguez,610.24,219.52,2,4
Barbara Thomas,609.39,252.8,1,9
Layla Smith,606.67,219.29,1,11
Felix Smith,605.4499999999999,210.42000000000002,4,23
Robert Chen,604.48,140.68,2,3
David Clark,603.9,186.83,1,10
Oscar Nilsson,603.39,205.81,1,5
Ali Johnson,603.09,52.57,1,14
Sarah Weber,602.87,166.15,1,6
Olga Yamamoto,602.73,244.35999999999999,2,5
Mary White,601.04,209.66,1,3
Fatima Fischer,600.76,121.66,2,3
Ahmed Harris,598.14,221.25,1,6
Liam Laurent,597.19,187.95,1,6
Hanna Hassan,596.92,211.02,1,6
Kenji Dubois,595.6,226.57,1,2
Layla Johansson,594.21,200.57000000000002,2,11
Kenji Davis,592.7,186.82,1,5
Barbara Sharma,591.9300000000001,132.07999999999998,3,4
Giulia Rossi,590.48,246.56,1,11
Lucas Khan,590.48,227.12,1,2
Jamal Schmidt,589.46,212.7,2,8
Diego Miller,587.9100000000001,172.16,2,6
Amir Chen,585.15,162.27,1,3
Mia Romano,583.17,212.46,1,3
Hans Singh,582.95,184.13,1,4
Karen Robinson,581.9,244.33,1,11
Michael Khan,578.49,199.44,2,6
Hanna Taylor,577.59,220.95,1,3
Ali Johansson,577.5,168.01000000000002,2,9
Ayumi Laurent,577.02,217.49,1,2
Xiao Brown,576.5,185.39,1,12
Olga Garcia,572.74,203.12,1,2
Sophie Clark,571.4100000000001,181.69,3,14
Hanna Müller,561.48,237.16,1,3
Sophie Martin,560.46,120.15,2,6
Isabella Sato,557.88,260.27,1,6
Barbara Singh,557.76,240.88,1,6
Maria Yamamoto,557.74,175.14999999999998,3,17
Pierre Anderson,555.39,157.78,1,10
Barbara Sato,555.27,212.74,1,3
Olga Leroy,553.25,191.7,3,5
Barbara Davis,552.83,200.22000000000003,3,19
Thomas Weber,547.01,213.69,1,5
Jennifer Robinson,544.32,227.22,1,8
Amir Williams,543.78,232.24,1,9
Sarah Clark,543.56,162.4,2,3
Ivan Williams,540.31,207.76,1,5
Susan Zhang,534.53,217.33999999999997,2,6
Emma Johnson,533.21,166.34,3,8
Richard Yamamoto,530.26,183.49,2,5
Jessica Suzuki,530.21,193.99,1,4
Linda Nilsson,523.65,190.36,1,5
Wei Chen,523.38,220.87,1,3
Nadia Laurent,521.8,216.3,1,4
Noah Oliveira,520.15,182.73,1,3
Nadia Zhang,519.76,162.02999999999997,2,12
Felix Müller,518.98,108.72,2,6
Thomas Oliveira,518.9300000000001,105.33,3,6
Omar Costa,518.5,129.31,3,3
Raj Johnson,518.07,179.52,1,3
Zara Suzuki,517.37,186.49,2,7
Diego Weber,514.8,195.65,1,4
Thomas Hassan,513.14,154.01,1,3
Barbara Hassan,513.13,164.92,1,8
Layla Garcia,512.4,121.89,2,4
Mia Costa,512.33,196.06,1,10
Ahmed Ali,509.12,227.04,1,12
David Schmidt,507.0,230.46,1,12
Ivan Sato,506.33,140.37,1,2
Hans Harris,505.77,165.16,1,6
James Ahmed,505.49,218.04000000000002,2,6
Richard Müller,505.36,194.02,1,2
Elizabeth Miller,504.5,152.09,1,7
Noah Tanaka,502.91,186.05,1,9
Olivia Patel,501.29999999999995,166.49,2,8
Elizabeth Williams,499.93999999999994,165.65,3,13
Wei Suzuki,499.8,185.46,1,6
Emma Pereira,496.75,200.26,2,20
Diego Schmidt,496.22,171.01,2,3
Ingrid Schmidt,493.8,185.09,1,6
Ethan Wang,490.67,145.60000000000002,2,6
Susan White,490.63,109.11,2,10
Nadia Martin,490.55,177.21,3,9
Christopher Jones,489.74,163.5,1,4
Ayumi Harris,489.01,161.45,2,9
Ivan Pereira,488.64,203.98,1,14
Joseph Martinez,486.89,98.0,3,5
Jennifer Costa,486.27,153.78,1,3
Sarah Leroy,485.4,219.03,1,11
Mary Davis,485.0,199.72,1,4
Jennifer Romano,484.2,135.49,2,7
James Johansson,483.89000000000004,154.79999999999998,2,11
Hanna Ahmed,480.78,142.09,1,8
Ayumi Clark,479.86,184.96,1,2
Noah Clark,478.25,153.38,1,3
Ivan Martinez,478.14,164.06,1,3
Karen Wang,474.35,163.69,2,5
Sakura Smith,473.46,170.96,2,9
James Tanaka,473.15,170.35,1,5
Susan Wang,472.62,216.56,1,6
Hans Rossi,470.72,149.26,2,13
Pierre Weber,470.54999999999995,152.03,3,8
Hans Fischer,468.86,136.78,2,5
Li Suzuki,467.78,151.83999999999997,2,5
Felix White,467.46,160.32,2,11
Felix Kim,467.28,145.74,1,4
Amina Singh,466.65,200.48,1,3
Joseph Johansson,465.3,179.38,1,2
Nadia Costa,464.42,167.47,2,6
Richard Romano,464.38,92.21000000000001,2,5
Li Khan,461.9,124.21,1,7
Robert Park,461.54,136.24,2,12
Jessica Patel,461.36,166.41,1,12
Barbara Ali,460.7,170.23,3,12
Patricia Zhang,459.92,106.85,1,5
Ingrid Weber,456.7,124.42,1,5
Pierre Jackson,456.08,129.34,1,6
Emma Müller,455.73,179.64,2,6
Hans Sharma,454.06,178.79,1,2
Robert Rodriguez,451.99,171.82,2,16
Olga Taylor,449.59000000000003,152.67000000000002,2,10
Michael Li,449.07,143.04,1,7
Ingrid Martinez,446.69,150.37,1,5
Zara Miller,445.73,154.33,2,5
Felix Robinson,445.31,132.07,1,3
Christopher Khan,442.95000000000005,155.88,2,12
Karen Anderson,441.71999999999997,139.75,3,6
Liam Rodriguez,440.14000000000004,166.97,2,7
Hans Müller,438.15999999999997,153.10999999999999,2,3
Zara Kim,436.15,131.29,1,8
Wei Rodriguez,436.05,134.37,1,2
Hans Costa,435.78,144.07,2,3
Linda Kumar,435.36,98.58,1,6
Zara Patel,433.94,90.28,1,3
Diego Thomas,433.86,135.70999999999998,2,9
Diego Robinson,433.33,115.02,1,4
Clara Sharma,432.8,142.03,1,6
Ahmed Taylor,432.71000000000004,142.42000000000002,2,11
Nadia Johansson,430.78,124.75,1,4
Olivia Nilsson,429.3,162.6,2,7
Sarah Kim,427.73,132.06,2,6
Zara Leroy,427.35,139.01,1,4
Sophie Schmidt,426.84000000000003,142.64,2,5
Ayumi Robinson,426.26,149.82999999999998,2,4
Karen Rossi,426.05,141.67,2,8
Elizabeth Weber,425.44,129.7,1,7
Kenji Wang,424.66999999999996,119.71,2,15
David Anderson,424.26,154.98,1,2
Olivia Sharma,421.05,133.5,2,7
Sarah Suzuki,419.54,139.1,1,8
Carlos Sharma,418.67,128.96,3,10
Olivia Ferrari,418.55,165.2,1,6
Oscar Zhang,417.87,140.11,1,10
James Harris,417.14,134.70000000000002,2,6
Xiao White,415.65,157.24,1,3
Michael Davis,415.10999999999996,134.65,2,8
Sophie Tanaka,414.36,140.69,1,3
Lucas Tanaka,412.13,142.93,1,9
Elizabeth Harris,411.78999999999996,160.72,2,7
Robert Martinez,410.43,118.74,1,4
Clara Laurent,409.32,135.25,1,6
Jessica Anderson,408.65000000000003,122.94000000000001,2,6
William Ali,408.32,144.65,1,4
Sarah Li,408.07,130.59,1,5
Mary Chen,407.72,148.98,2,6
James Li,407.25,174.52,1,3
Linda Russo,405.14,133.07,2,11
Elizabeth Moreau,402.64,167.47,1,2
Karen Nilsson,398.95,116.73,1,7
Ivan Davis,398.26,111.62,2,6
John Ferrari,397.95,163.26,2,7
Isabella Thomas,396.63,160.9,1,5
Li Sharma,396.49,139.12,1,3
Richard Leroy,396.42,89.06,1,4
Hans Johnson,393.17999999999995,103.94999999999999,3,10
Michael Ahmed,392.02,147.72,1,2
Giulia Harris,391.54,143.77,1,2
Wei Taylor,390.41,131.04,1,2
Maria Leroy,388.58,148.24,1,7
Ahmed Rodriguez,387.86,110.71,1,4
Wei Santos,387.13,170.05,2,4
Jennifer Pereira,385.52,155.44,1,8
Ayumi Johnson,385.36,127.82,1,4
Mia Jones,384.05,146.10999999999999,2,11
Lucas Russo,380.79999999999995,110.73,2,11
Yuki Thomas,379.59,101.05,1,1
Ivan Costa,378.73,101.45,1,2
Ingrid Nilsson,378.65,112.64,1,6
Kenji Jones,378.08,131.26,2,3
Kenji Hassan,376.72,137.34,1,2
Maria Rodriguez,376.6,157.97,2,4
Sarah Santos,375.54,145.71,1,6
Ayumi Thomas,375.0,100.68,1,8
Noah Khan,374.13,115.42,1,5
Thomas Suzuki,372.25,106.07,2,10
Christopher Rodriguez,371.64,148.28,1,2
Mia Anderson,371.17,111.02,1,3
Emma Moreau,369.25,146.76,1,5
Maria Hassan,367.5,137.65,1,3
Olivia Williams,366.51,134.53,1,5
Ethan Johnson,364.29999999999995,113.17,2,5
Olga Davis,360.48,109.47,3,14
Clara Hassan,360.17,112.66,2,4
Clara Robinson,358.24,127.77,2,6
Ivan Robinson,358.18,143.16,1,11
Raj Garcia,356.83,84.2,1,7
Hanna Sato,353.04,95.05,3,12
Zara Nilsson,352.59000000000003,121.44,2,5
Fatima Ferrari,352.3,129.05,1,8
Jamal Singh,351.88,100.66,1,7
Emma Sharma,350.83,65.9,2,14
Omar Yamamoto,347.74,115.14999999999999,2,12
Olga Robinson,346.92,94.78,3,4
Felix Yamamoto,346.74,145.14,1,2
Mary Hassan,346.52,144.4,1,6
James Rossi,346.32,109.53,1,5
Mia White,345.35,61.06,1,3
Mary Johansson,344.98,104.96,1,7
Sophie Khan,343.95,134.01,1,5
Nadia Robinson,343.63,153.66,1,7
Yuki Ferrari,343.07,79.73,1,2
Priya Laurent,342.15,148.76,1,4
Isabella Johnson,340.88,98.92,1,4
Wei Sharma,338.72,117.75,1,5
Amina Taylor,338.36,92.6,3,11
Elizabeth Ahmed,336.94,111.73,1,1
Marco Sato,336.78999999999996,118.36,2,6
Sophie Pereira,336.43,125.84,1,5
Linda Patel,335.32,138.83,1,4
Carlos Smith,335.28,104.15,1,11
Jamal Rossi,334.7,137.72,2,5
Kenji Martin,334.58,103.56,3,4
Layla Patel,334.09,105.76,1,1
Mia Tanaka,332.84,75.03,1,1
Wei Johnson,331.83,118.59,1,9
David Park,329.91,131.63,1,11
Pierre Wang,327.82,89.92,2,11
Maria Johnson,327.46,91.9,1,9
Maria Costa,326.76,116.41,3,9
William Robinson,322.89,132.11,2,4
Maria Weber,322.21999999999997,109.21,2,7
Oscar Santos,322.01,77.25,1,7
Emma Wang,321.67999999999995,100.61999999999999,2,11
Jennifer Garcia,320.63,121.06,2,3
Liam Martin,320.17,139.03,1,3
Michael Tanaka,315.68,75.24000000000001,2,3
Barbara Nilsson,314.72,89.3,1,10
Zara Harris,314.5,129.47,1,5
Zara Anderson,313.98,131.74,1,3
John Johansson,313.38,83.62,1,4
Richard Kumar,313.19,131.21,1,9
Wei Müller,311.89,79.39,3,9
Yuki Kim,311.13,118.35000000000001,2,4
Susan Russo,310.97,119.26,1,11
Felix Costa,308.8,62.71,1,4
Zara Oliveira,308.79,98.44,1,10
Layla Sharma,308.12,107.8,1,2
Emma Miller,306.95,114.96,1,4
Ava Clark,306.87,68.21000000000001,3,7
Elizabeth Sato,303.6,106.48,1,4
Thomas Brown,303.33,119.33,1,2
Kenji Williams,301.48,111.48,1,11
Mia Santos,301.37,100.06,3,14
James Wang,298.56,122.32,1,4
Patricia Müller,298.36,106.31,2,6
Noah Chen,297.26,93.58000000000001,2,7
Clara Jackson,297.23,100.47,1,8
Patricia Kim,296.90000000000003,113.33,2,3
Michael Ali,294.15,72.84,1,13
Amir Hassan,293.97,121.94000000000001,2,7
Mia Harris,293.68,103.68,3,5
Diego Williams,292.5,109.53,1,9
Noah Jones,292.3,90.92,2,5
Barbara Robinson,291.9,99.26,1,8
Linda Suzuki,291.84,128.02,1,5
Jamal Taylor,291.54,123.17,2,4
Clara Oliveira,291.24,93.33,1,2
Christopher Park,286.33,102.06,2,6
Fatima Johnson,286.32,100.34,1,3
Christopher Williams,286.17,104.2,1,3
Ali Jones,281.8,110.69,2,5
Oscar Thompson,281.66,72.04,3,7
James Patel,281.28,108.85,1,2
Mary Martin,280.22,55.33,1,3
Noah Rodriguez,279.54,120.46,1,6
Ava Rossi,278.23,78.44,2,2
William Sato,278.17,106.33,1,7
Felix Park,275.32,90.35,1,4
Thomas Patel,275.31,107.7,1,5
Giulia Taylor,274.26,74.07,2,4
Ali Weber,273.55,113.38,1,5
Jennifer Harris,272.51,52.97,2,10
Kenji Zhang,271.99,105.94,1,2
Patricia Jackson,271.78,97.83,2,15
William Kim,271.07000000000005,71.06,2,4
Giulia Ali,270.58,111.69,1,2
Pierre Rodriguez,270.49,99.04,1,2
Olivia Jones,270.47,78.64,1,6
Chen Thompson,270.46,78.84,2,8
Yuki Martin,269.56,105.1,1,4
Zara Rodriguez,269.25,62.76,2,8
William Nilsson,268.98,99.03,1,1
Sophie Chen,266.6,72.82000000000001,2,4
Mia Weber,266.43,40.45,2,9
Jennifer Ferrari,265.12,72.37,2,5
William Ahmed,264.98,87.09,1,2
Kenji Johnson,264.5,95.32,1,10
Ava Ferrari,264.38,98.83,1,2
Li Pereira,263.62,103.58,2,4
Raj Rossi,262.03,71.15,2,7
Mia Brown,262.0,93.22,1,3
Ethan Li,261.18,82.65,2,5
Layla Fischer,260.91,96.46,1,2
Chen Chen,260.89,72.8,1,4
Ali Yamamoto,260.69,66.04,2,3
Thomas Costa,258.74,98.03,2,5
James Miller,258.03,61.93,1,9
David Suzuki,257.67,83.12,1,5
Mary Khan,256.84000000000003,49.26,3,8
Chen Santos,256.72,82.02,2,10
Isabella Johansson,256.55,75.21,2,5
Omar Patel,255.07,88.18,1,5
Sarah Davis,254.4,67.41,3,6
Lucas Laurent,254.28,95.8,1,4
Linda Johnson,254.07,80.06,1,2
Giulia Rodriguez,253.6,45.17,1,4
Kenji Moreau,253.37,80.3,2,13
Noah Nilsson,253.14,86.93,1,2
William Wang,251.86,79.95,1,3
Linda Hassan,251.68,74.13,1,1
Ayumi Taylor,251.52,80.57,1,4
Emma Dubois,251.33,89.65,2,8
Wei Moreau,251.06,79.46,2,5
Susan Li,250.72,66.19,1,4
Thomas Johnson,248.51,67.47,1,1
Ahmed Jackson,247.54,61.400000000000006,2,8
Olivia Miller,247.06,74.67,1,6
Karen Russo,246.69,98.95,1,9
Linda Brown,246.19,87.16,1,3
Susan Yamamoto,245.38,72.68,1,1
Elizabeth Fischer,245.22,68.69,2,3
Christopher Robinson,245.08,86.25,1,2
Karen Hassan,244.53,91.25999999999999,2,12
Ava Miller,244.2,86.39,1,5
Li Smith,243.95,71.07,1,1
Noah Ali,243.22,91.7,1,3
Wei Anderson,242.96,69.27,1,4
Jamal Brown,242.76,103.04,1,6
Richard Zhang,242.53,78.51,1,4
Susan Ali,241.57,87.62,1,4
Hanna Williams,241.47,77.82,1,4
Ahmed Thompson,240.97,74.05,1,7
Richard Santos,240.21,81.82,1,5
Sarah Harris,239.96,91.67,2,12
Amir Rodriguez,239.7,67.09,1,1
Ali Patel,239.2,92.03,1,8
Fatima Suzuki,238.71,83.01,2,4
Liam Smith,238.4,104.42,1,4
John Suzuki,237.86,58.48,2,2
Hanna Dubois,237.44,56.0,1,2
David Rodriguez,236.93,67.88,1,3
Chen Tanaka,236.85,63.07999999999999,2,5
Lucas Brown,236.81,48.28,2,7
Fatima Martin,236.04,83.28,1,4
Christopher Thompson,235.92,73.35,1,3
Hanna Park,235.68,76.85,1,3
Kenji Harris,235.66,80.55,1,5
Hanna Rodriguez,232.77,37.99,1,2
Elizabeth Wang,232.74,79.67,1,3
Ali Taylor,232.53,90.6,1,3
Olivia Kim,232.02,66.47,1,2
Xiao Wang,231.96,79.08,1,2
Clara Dubois,230.66,72.7,1,7
Robert Wang,229.95,91.16,1,5
Omar Hassan,229.28,58.34,1,6
Amir Smith,228.99,83.79,1,3
Thomas Rodriguez,228.76999999999998,49.57,3,10
Jessica Wang,227.86,69.31,2,3
Layla Li,227.49,81.96,1,3
Giulia White,225.85,73.9,1,5
Diego Jackson,225.25,72.61,1,4
Susan Schmidt,225.15,77.66,1,3
Sophie White,225.02999999999997,35.58,2,5
Amina Russo,224.54,94.73,1,4
Ethan Williams,224.52,81.12,1,2
Richard Brown,223.56,91.6,1,2
Joseph Russo,223.29,78.78,1,5
Chen Johansson,222.26,63.57,1,1
Clara Romano,222.13,67.35000000000001,2,5
Mia Wang,222.04,80.42,1,3
Maria Ferrari,221.84,67.04,1,1
James Suzuki,221.75,51.28,1,6
Linda Harris,220.36,92.77,1,4
Ethan Kumar,219.71,58.65,1,8
Emma Romano,219.67,91.14,1,1
Amir Ali,219.52,81.87,2,8
Noah Müller,219.07,67.28,1,2
Jamal Sharma,219.01,74.52,1,2
Robert Leroy,217.86,76.18,2,5
Wei Martinez,217.59,77.42,1,3
Robert Sharma,217.35,43.68,1,1
Ethan Khan,217.19,71.01,1,6
Mia Li,217.06,71.72,1,3
Priya Brown,216.8,64.53,2,10
William Chen,216.18,60.14,3,12
Raj Thomas,215.52,88.42,1,3
Wei Yamamoto,215.09,91.48,1,3
Sophie Jackson,215.05,43.39,1,1
Karen Romano,213.0,60.27,2,6
Layla Yamamoto,212.76,60.0,1,2
Olga Hassan,211.75,57.46,1,4
Susan Kim,210.93,90.0,1,3
Jennifer Santos,210.57,46.12,1,1
Linda Khan,207.42,73.66,1,2
Chen Romano,207.08,58.47,2,3
Thomas Thompson,207.05,55.11,2,7
Sophie Park,206.72,90.39,1,4
Kenji Sharma,205.58,52.86,1,2
Fatima Yamamoto,205.45,70.0,2,13
John Zhang,205.44,78.98,1,1
Jamal Clark,205.41,23.26,2,3
Noah Ferrari,205.27,83.81,1,4
Olivia Anderson,205.2,71.31,3,8
Robert Davis,204.96,64.93,1,1
Priya Schmidt,203.6,58.96,2,4
Carlos Thompson,203.59,74.5,1,1
Lucas Schmidt,202.61,60.48,1,1
James Schmidt,202.05,78.48,1,3
Maria Moreau,201.15,77.82,1,6
James Clark,200.12,49.88,1,4
Mia Smith,199.67000000000002,51.059999999999995,2,6
Xiao Robinson,199.66,73.03999999999999,2,3
Priya Kumar,199.44,90.67,1,3
Sarah Johnson,199.39,60.35,2,5
Ahmed Zhang,199.3,78.84,1,7
Carlos Wang,199.03,49.84,1,3
Kenji Leroy,198.83,74.59,1,6
Elizabeth Dubois,198.4,56.62,1,4
Jennifer Leroy,198.4,63.32,1,4
Christopher Schmidt,198.38,32.44,1,1
Elizabeth Chen,198.36,89.39,1,9
Diego Johansson,198.23,56.699999999999996,2,10
Chen Miller,197.88,72.6,1,3
Sophie Ahmed,197.61,64.49,1,3
Jamal Pereira,196.95999999999998,49.88,2,11
Robert Clark,196.92,33.17,1,4
Chen Anderson,196.42,61.1,1,4
Maria Tanaka,195.09,47.69,2,5
Li White,194.11,57.13,1,4
Layla Anderson,193.72,43.57,1,2
David Thompson,193.41,75.32,1,7
Lucas Romano,193.3,84.55,1,5
Clara Martin,192.45,78.89,1,5
Barbara Dubois,192.38,64.07,1,4
Ava Yamamoto,192.3,59.22,2,4
